age,hours.per.week,marital_grouped_num,occupation_grouped_num,relationship_grouped_num,race_num,sex_num,income_numeric,education_group
90,40,0,1,2,1,2,1,3
82,18,0,1,2,1,2,1,3
66,40,0,1,2,2,2,1,3
54,40,0,3,2,1,2,1,1
41,40,0,1,3,1,2,1,3
34,45,0,2,2,1,2,1,3
38,40,0,4,2,1,1,1,2
74,20,0,1,3,1,2,2,5
68,40,0,1,2,1,2,1,3
41,60,0,3,2,1,1,2,3
45,35,0,1,2,2,2,2,5
38,45,0,1,2,1,1,2,5
52,20,0,2,2,1,2,2,5
32,55,0,1,2,1,1,2,5
51,40,0,1,2,1,1,2,5
46,40,0,1,2,1,1,2,5
45,76,0,3,2,1,1,2,2
57,50,0,1,2,1,1,2,5
22,40,0,3,2,2,1,2,4
34,50,0,2,2,1,1,2,5
37,40,0,1,2,1,1,2,5
29,42,0,2,2,1,2,1,2
61,25,0,2,2,1,2,1,3
51,40,1,3,1,1,1,1,3
61,32,1,1,1,1,1,1,3
21,40,1,3,1,1,1,1,4
37,50,0,3,2,1,1,2,2
38,90,0,1,2,1,1,2,2
23,40,0,2,2,1,1,2,3
59,50,0,1,2,1,2,2,2
52,60,0,1,2,1,1,2,5
51,50,0,1,2,1,1,2,5
60,50,0,1,2,2,1,2,3
63,60,0,1,2,1,2,2,5
53,48,0,2,2,1,1,2,3
51,50,0,1,2,1,2,2,5
37,60,0,1,2,1,2,2,5
54,40,0,1,2,1,2,2,5
44,50,0,1,2,1,1,2,5
43,40,0,1,2,1,2,2,5
51,40,0,4,2,1,2,2,3
43,40,0,1,2,1,2,2,5
71,15,1,1,1,1,1,1,3
48,70,0,2,2,1,2,2,5
71,52,1,2,1,1,1,1,3
68,40,1,1,1,1,2,1,3
67,40,1,1,1,1,1,1,3
40,45,0,1,2,1,1,2,5
50,72,0,2,2,1,2,2,3
51,39,0,4,2,1,1,2,4
42,40,0,1,2,1,2,2,3
39,45,0,2,2,1,1,2,5
32,50,0,1,3,1,1,2,5
53,45,0,3,2,1,1,2,3
40,40,0,2,2,1,1,2,3
38,45,0,2,2,1,2,2,5
33,42,0,3,2,1,1,2,4
43,70,0,3,2,1,1,2,4
50,40,0,1,3,1,1,2,2
44,6,1,4,1,1,2,2,3
41,40,1,1,1,1,1,2,5
60,70,1,3,1,1,1,2,4
37,60,1,1,1,1,1,2,5
39,60,1,2,1,1,1,2,5
42,60,1,1,1,1,1,2,5
49,55,1,2,1,1,1,2,5
47,50,1,1,1,1,1,2,3
41,45,1,1,1,1,1,2,5
55,50,1,1,1,1,1,2,5
39,65,1,1,1,1,2,2,5
42,60,1,1,1,1,1,2,5
41,12,1,1,1,1,1,2,4
46,65,1,2,1,1,1,2,5
40,45,1,1,1,1,1,2,5
32,48,1,1,1,1,1,2,5
41,55,1,1,1,1,1,2,3
60,80,1,1,1,1,1,2,5
58,40,1,4,1,1,1,2,3
37,50,1,2,1,1,1,2,5
44,50,1,1,1,1,1,2,5
39,50,1,1,1,1,1,2,5
43,55,1,1,1,3,1,2,5
55,50,1,1,1,1,1,2,5
44,55,1,1,1,1,1,2,5
46,40,1,2,1,1,1,2,5
39,99,1,4,1,1,1,2,3
62,60,1,4,1,1,1,2,5
31,40,1,2,1,1,2,2,3
46,80,1,1,1,1,1,2,5
39,40,1,3,1,1,1,2,4
39,99,1,2,1,1,1,2,5
59,45,1,1,1,1,1,2,5
50,60,1,1,1,1,1,2,5
46,55,1,1,1,1,1,2,5
53,40,1,1,1,1,1,2,5
50,30,1,1,1,1,1,2,5
41,55,1,1,1,1,2,2,5
36,45,1,2,1,1,1,2,5
38,90,1,1,1,1,1,2,5
54,50,1,2,1,1,1,2,3
50,20,1,1,1,1,2,2,5
47,60,1,1,1,1,1,2,5
47,45,1,1,1,1,1,2,5
67,40,0,1,2,1,1,2,5
67,75,1,1,1,1,1,2,5
72,25,1,1,1,1,1,2,5
72,6,1,1,1,1,1,2,5
46,50,1,1,1,1,1,2,5
78,40,1,1,1,1,1,2,5
71,60,1,1,1,1,1,2,5
83,55,1,1,1,1,1,2,5
68,40,1,1,1,1,1,2,5
26,45,1,4,1,1,1,1,4
